name,url,test_types,remote_testing,adaptive
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,CPAB,No,No
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,AKP,No,No
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,ABPS,No,No
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,BP,No,No
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,BP,No,No
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,ABKP,No,No
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,ABP,No,No
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,ABPS,No,No
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,BPSA,No,No
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,PSKBA,No,No
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,ABP,No,No
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,BAP,No,No
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,K,No,No
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,K,No,No
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,K,No,No
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,K,No,No
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,K,No,No
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,K,No,No
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,P,No,No
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,K,No,No
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,K,No,No
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,K,No,No
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,K,No,No
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,K,No,No
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,K,No,No
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,K,No,No
